Nome Parlamentar;Partido;UF;Titular/Suplente/Efetivado;Endereço;Anexo;Endereço (continuação);Gabinete;Endereço (complemento);Telefone;Fax;Mês Aniversário;Dia Aniversário;Correio Eletrônico;Nome sem Acento;Tratamento;Nome Civil;PEC135/19
Filipe Barros;PSL;PR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;745;Brasília - DF - CEP 70160-900;3215-5745;3215-2745;5;29;dep.filipebarros@camara.leg.br;Filipe Barros;Exmo. Senhor Deputado;FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO;1
Flávia Morais;PDT;GO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;738;Brasília - DF - CEP 70160-900;3215-5738;3215-2738;4;26;dep.flaviamorais@camara.leg.br;Flavia Morais;Exma. Senhora Deputada;FLÁVIA CARREIRO ALBUQUERQUE MORAIS;
Flaviano Melo;MDB;AC;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;224;Brasília - DF - CEP 70160-900;3215-5224;3215-2224;11;17;dep.flavianomelo@camara.leg.br;Flaviano Melo;Exmo. Senhor Deputado;FLAVIANO FLÁVIO BAPTISTA DE MELO;
Flávio Nogueira;PDT;PI;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;811;Brasília - DF - CEP 70160-900;3215-5811;3215-2811;2;27;dep.flavionogueira@camara.leg.br;Flavio Nogueira;Exmo. Senhor Deputado;FLÁVIO RODRIGUES NOGUEIRA;0
Flordelis;PSD;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;612;Brasília - DF - CEP 70160-900;3215-5612;3215-2612;2;5;dep.flordelis@camara.leg.br;Flordelis;Exma. Senhora Deputada;FLORDELIS DOS SANTOS DE SOUZA;
Francisco Jr.;PSD;GO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;643;Brasília - DF - CEP 70160-900;3215-5643;3215-2643;3;15;dep.franciscojr@camara.leg.br;Francisco Jr.;Exmo. Senhor Deputado;FRANCISCO RODRIGUES VALE JUNIOR;1
Franco Cartafina;PP;MG;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;283;Brasília - DF - CEP 70160-900;3215-5283;3215-2283;11;3;dep.francocartafina@camara.leg.br;Franco Cartafina;Exmo. Senhor Deputado;FRANCO CARTAFINA GOMES;1
Fred Costa;PATRIOTA;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;633;Brasília - DF - CEP 70160-900;3215-5633;3215-2633;7;12;dep.fredcosta@camara.leg.br;Fred Costa;Exmo. Senhor Deputado;FREDERICO BORGES DA COSTA;1
Frei Anastacio Ribeiro;PT;PB;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;442;Brasília - DF - CEP 70160-900;3215-5442;3215-2442;3;3;dep.freianastacioribeiro@camara.leg.br;Frei Anastacio Ribeiro;Exmo. Senhor Deputado;ANTONIO RIBEIRO;0
Gastão Vieira;PROS;MA;S;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;372;Brasília - DF - CEP 70160-900;3215-5372;3215-2372;6;15;dep.gastaovieira@camara.leg.br;Gastao Vieira;Exmo. Senhor Deputado;GASTÃO DIAS VIEIRA;0
Gelson Azevedo;PL;RJ;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;369;Brasília - DF - CEP 70160-900;3215-5369;3215-2369;1;10;dep.gelsonazevedo@camara.leg.br;Gelson Azevedo;Exmo. Senhor Deputado;GELSON DE AZEVEDO ALMEIDA;
Genecias Noronha;SOLIDARIEDADE;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;244;Brasília - DF - CEP 70160-900;3215-5244;3215-2244;3;13;dep.geneciasnoronha@camara.leg.br;Genecias Noronha;Exmo. Senhor Deputado;GENECIAS MATEUS NORONHA;0
General Girão;PSL;RN;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;914;Brasília - DF - CEP 70160-900;3215-5914;3215-2914;5;8;dep.generalgirao@camara.leg.br;General Girao;Exmo. Senhor Deputado;ELIÉSER GIRÃO MONTEIRO FILHO;1
General Peternelli;PSL;SP;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;570;Brasília - DF - CEP 70160-900;3215-5570;3215-2570;8;6;dep.generalpeternelli@camara.leg.br;General Peternelli;Exmo. Senhor Deputado;ROBERTO SEBASTIÃO PETERNELLI JUNIOR;1
Geninho Zuliani;DEM;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;860;Brasília - DF - CEP 70160-900;3215-5860;3215-2860;1;13;dep.geninhozuliani@camara.leg.br;Geninho Zuliani;Exmo. Senhor Deputado;EUGENIO JOSÉ ZULIANI;0
Geovania de Sá;PSDB;SC;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;606;Brasília - DF - CEP 70160-900;3215-5606;3215-2606;3;30;dep.geovaniadesa@camara.leg.br;Geovania de Sa;Exma. Senhora Deputada;Geovânia de Sá;1
Gervásio Maia;PSB;PB;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;308;Brasília - DF - CEP 70160-900;3215-5308;3215-2308;4;14;dep.gervasiomaia@camara.leg.br;Gervasio Maia;Exmo. Senhor Deputado;GERVÁSIO AGRIPINO MAIA;0
Giacobo;PL;PR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;762;Brasília - DF - CEP 70160-900;3215-5762;3215-2762;12;17;dep.giacobo@camara.leg.br;Giacobo;Exmo. Senhor Deputado;FERNANDO LÚCIO GIACOBO;
Gil Cutrim;REPUBLICANOS;MA;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;385;Brasília - DF - CEP 70160-900;3215-5385;3215-2385;10;26;dep.gilcutrim@camara.leg.br;Gil Cutrim;Exmo. Senhor Deputado;GILLIANO FRED NASCIMENTO CUTRIM;0
Gilberto Abramo;REPUBLICANOS;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;601;Brasília - DF - CEP 70160-900;3215-5601;3215-2601;8;6;dep.gilbertoabramo@camara.leg.br;Gilberto Abramo;Exmo. Senhor Deputado;GILBERTO APARECIDO ABRAMO;1
Gilberto Nascimento;PSC;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;834;Brasília - DF - CEP 70160-900;3215-5834;3215-2834;7;9;dep.gilbertonascimento@camara.leg.br;Gilberto Nascimento;Exmo. Senhor Deputado;GILBERTO NASCIMENTO SILVA;1
Gilson Marques;NOVO;SC;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;431;Brasília - DF - CEP 70160-900;3215-5431;3215-2431;4;12;dep.gilsonmarques@camara.leg.br;Gilson Marques;Exmo. Senhor Deputado;GILSON MARQUES VIEIRA;1
Giovani Cherini;PL;RS;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;872;Brasília - DF - CEP 70160-900;3215-5872;3215-2872;6;23;dep.giovanicherini@camara.leg.br;Giovani Cherini;Exmo. Senhor Deputado;GIOVANI CHERINI;1
Giovani Feltes;MDB;RS;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;376;Brasília - DF - CEP 70160-900;3215-5376;3215-2376;4;10;dep.giovanifeltes@camara.leg.br;Giovani Feltes;Exmo. Senhor Deputado;GIOVANI BATISTA FELTES;1
Glauber Braga;PSOL;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;362;Brasília - DF - CEP 70160-900;3215-5362;3215-2362;6;26;dep.glauberbraga@camara.leg.br;Glauber Braga;Exmo. Senhor Deputado;GLAUBER DE MEDEIROS BRAGA;0
Glaustin da Fokus;PSC;GO;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;473;Brasília - DF - CEP 70160-900;3215-5473;3215-2473;12;22;dep.glaustindafokus@camara.leg.br;Glaustin da Fokus;Exmo. Senhor Deputado;GLAUSKSTON BATISTA RIOS;1
Gleisi Hoffmann;PT;PR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;232;Brasília - DF - CEP 70160-900;3215-5232;3215-2232;9;6;dep.gleisihoffmann@camara.leg.br;Gleisi Hoffmann;Exma. Senhora Deputada;GLEISI HELENA HOFFMANN;0
Gonzaga Patriota;PSB;PE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;430;Brasília - DF - CEP 70160-900;3215-5430;3215-2430;4;26;dep.gonzagapatriota@camara.leg.br;Gonzaga Patriota;Exmo. Senhor Deputado;LUIZ GONZAGA PATRIOTA;
Greyce Elias;AVANTE;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;340;Brasília - DF - CEP 70160-900;3215-5340;3215-2340;12;15;dep.greyceelias@camara.leg.br;Greyce Elias;Exma. Senhora Deputada;GREYCE DE QUEIROZ ELIAS;1
Guiga Peixoto;PSL;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;333;Brasília - DF - CEP 70160-900;3215-5333;3215-2333;11;13;dep.guigapeixoto@camara.leg.br;Guiga Peixoto;Exmo. Senhor Deputado;JOSÉ GUILHERME NEGRÃO PEIXOTO;1
Guilherme Derrite;PP;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;639;Brasília - DF - CEP 70160-900;3215-5639;3215-2639;10;10;dep.guilhermederrite@camara.leg.br;Guilherme Derrite;Exmo. Senhor Deputado;GUILHERME MURARO DERRITE;1
Guilherme Mussi;PP;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;712;Brasília - DF - CEP 70160-900;3215-5712;3215-2712;10;14;dep.guilhermemussi@camara.leg.br;Guilherme Mussi;Exmo. Senhor Deputado;GUILHERME MUSSI FERREIRA;0
Gurgel;PSL;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;937;Brasília - DF - CEP 70160-900;3215-5937;3215-2937;12;2;dep.gurgel@camara.leg.br;Gurgel;Exmo. Senhor Deputado;JOÃO CARLOS SOARES GURGEL;1
Gustavo Fruet;PDT;PR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;827;Brasília - DF - CEP 70160-900;3215-5827;3215-2827;4;18;dep.gustavofruet@camara.leg.br;Gustavo Fruet;Exmo. Senhor Deputado;GUSTAVO BONATO FRUET;0
Gustinho Ribeiro;SOLIDARIEDADE;SE;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;379;Brasília - DF - CEP 70160-900;3215-5379;3215-2379;2;16;dep.gustinhoribeiro@camara.leg.br;Gustinho Ribeiro;Exmo. Senhor Deputado;LUIZ AUGUSTO CARVALHO RIBEIRO FILHO;0
Gutemberg Reis;MDB;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;856;Brasília - DF - CEP 70160-900;3215-5856;3215-2856;9;9;dep.gutembergreis@camara.leg.br;Gutemberg Reis;Exmo. Senhor Deputado;GUTEMBERG REIS DE OLIVEIRA;1
Haroldo Cathedral;PSD;RR;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;280;Brasília - DF - CEP 70160-900;3215-5280;3215-2280;5;11;dep.haroldocathedral@camara.leg.br;Haroldo Cathedral;Exmo. Senhor Deputado;HAROLDO ALVES CAMPOS;1
Heitor Freire;PSL;CE;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;367;Brasília - DF - CEP 70160-900;3215-5367;3215-2367;10;8;dep.heitorfreire@camara.leg.br;Heitor Freire;Exmo. Senhor Deputado;HEITOR RODRIGO PEREIRA FREIRE;1
Heitor Schuch;PSB;RS;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;277;Brasília - DF - CEP 70160-900;3215-5277;3215-2277;3;25;dep.heitorschuch@camara.leg.br;Heitor Schuch;Exmo. Senhor Deputado;HEITOR JOSE SCHUCH;1
Helder Salomão;PT;ES;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;573;Brasília - DF - CEP 70160-900;3215-5573;3215-2573;3;8;dep.heldersalomao@camara.leg.br;Helder Salomao;Exmo. Senhor Deputado;HELDER IGNACIO SALOMAO;0
Hélio Costa;REPUBLICANOS;SC;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;609;Brasília - DF - CEP 70160-900;3215-5609;3215-2609;3;3;dep.heliocosta@camara.leg.br;Helio Costa;Exmo. Senhor Deputado;HÉLIO FRANCISCO DA COSTA;1
Hélio Leite;DEM;PA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;930;Brasília - DF - CEP 70160-900;3215-5930;3215-2930;12;9;dep.helioleite@camara.leg.br;Helio Leite;Exmo. Senhor Deputado;HELIO LEITE DA SILVA;1
Helio Lopes;PSL;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;405;Brasília - DF - CEP 70160-900;3215-5405;3215-2405;3;28;dep.heliolopes@camara.leg.br;Helio Lopes;Exmo. Senhor Deputado;HELIO FERNANDO BARBOSA LOPES;1
Henrique do Paraíso;REPUBLICANOS;SP;S;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;344;Brasília - DF - CEP 70160-900;3215-5344;3215-2344;6;7;dep.henriquedoparaiso@camara.leg.br;Henrique do Paraiso;Exmo. Senhor Deputado;HENRIQUE STEIN SCIASCIO;1
Henrique Fontana;PT;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;256;Brasília - DF - CEP 70160-900;3215-5256;3215-2256;1;18;dep.henriquefontana@camara.leg.br;Henrique Fontana;Exmo. Senhor Deputado;HENRIQUE FONTANA JÚNIOR;0
Hercílio Coelho Diniz;MDB;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;510;Brasília - DF - CEP 70160-900;3215-5510;3215-2510;9;14;dep.herciliocoelhodiniz@camara.leg.br;Hercilio Coelho Diniz;Exmo. Senhor Deputado;HERCÍLIO ARAÚJO DINIZ FILHO;1
Herculano Passos;MDB;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;926;Brasília - DF - CEP 70160-900;3215-5926;3215-2926;8;4;dep.herculanopassos@camara.leg.br;Herculano Passos;Exmo. Senhor Deputado;HERCULANO CASTILHO PASSOS JUNIOR;
Hermes Parcianello;MDB;PR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;234;Brasília - DF - CEP 70160-900;3215-5234;3215-2234;4;25;dep.hermesparcianello@camara.leg.br;Hermes Parcianello;Exmo. Senhor Deputado;HERMES PARCIANELLO;
Hildo Rocha;MDB;MA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;734;Brasília - DF - CEP 70160-900;3215-5734;3215-2734;4;22;dep.hildorocha@camara.leg.br;Hildo Rocha;Exmo. Senhor Deputado;HILDO AUGUSTO DA ROCHA NETO;
Hiran Gonçalves;PP;RR;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;478;Brasília - DF - CEP 70160-900;3215-5478;3215-2478;6;19;dep.hirangoncalves@camara.leg.br;Hiran Goncalves;Exmo. Senhor Deputado;HIRAN MANUEL GONCALVES DA SILVA;
Hugo Leal;PSD;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;631;Brasília - DF - CEP 70160-900;3215-5631;3215-2631;8;6;dep.hugoleal@camara.leg.br;Hugo Leal;Exmo. Senhor Deputado;HUGO LEAL MELO DA SILVA;1
Hugo Motta;REPUBLICANOS;PB;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;237;Brasília - DF - CEP 70160-900;3215-5237;3215-2237;9;11;dep.hugomotta@camara.leg.br;Hugo Motta;Exmo. Senhor Deputado;HUGO MOTTA WANDERLEY DA NÓBREGA;
Idilvan Alencar;PDT;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;737;Brasília - DF - CEP 70160-900;3215-5737;3215-2737;9;23;dep.idilvanalencar@camara.leg.br;Idilvan Alencar;Exmo. Senhor Deputado;ANTONIO IDILVAN DE LIMA ALENCAR;0
Igor Kannário;DEM;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;337;Brasília - DF - CEP 70160-900;3215-5337;3215-2337;11;29;dep.igorkannario@camara.leg.br;Igor Kannario;Exmo. Senhor Deputado;ANDERSON MACHADO DE JESUS;1
Igor Timo;PODE;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;726;Brasília - DF - CEP 70160-900;3215-5726;3215-2726;4;10;dep.igortimo@camara.leg.br;Igor Timo;Exmo. Senhor Deputado;IGOR TARCIANO TIMO;
Iracema Portella;PP;PI;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;924;Brasília - DF - CEP 70160-900;3215-5924;3215-2924;4;23;dep.iracemaportella@camara.leg.br;Iracema Portella;Exma. Senhora Deputada;IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA;1
Isnaldo Bulhões Jr.;MDB;AL;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;460;Brasília - DF - CEP 70160-900;3215-5460;3215-2460;10;30;dep.isnaldobulhoesjr@camara.leg.br;Isnaldo Bulhoes Jr.;Exmo. Senhor Deputado;ISNALDO BULHOES BARROS JUNIOR;0
Ivan Valente;PSOL;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;716;Brasília - DF - CEP 70160-900;3215-5716;3215-2716;7;5;dep.ivanvalente@camara.leg.br;Ivan Valente;Exmo. Senhor Deputado;IVAN VALENTE;0
Jandira Feghali;PCdoB;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;622;Brasília - DF - CEP 70160-900;3215-5622;3215-2622;5;17;dep.jandirafeghali@camara.leg.br;Jandira Feghali;Exma. Senhora Deputada;JANDIRA FEGHALI;0
Jaqueline Cassol;PP;RO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;242;Brasília - DF - CEP 70160-900;3215-5242;3215-2242;12;3;dep.jaquelinecassol@camara.leg.br;Jaqueline Cassol;Exma. Senhora Deputada;DIRLAINE JAQUELINE CASSOL;1
Jefferson Campos;PSB;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;346;Brasília - DF - CEP 70160-900;3215-5346;3215-2346;10;26;dep.jeffersoncampos@camara.leg.br;Jefferson Campos;Exmo. Senhor Deputado;JEFFERSON ALVES DE CAMPOS;1
Jerônimo Goergen;PP;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;316;Brasília - DF - CEP 70160-900;3215-5316;3215-2316;1;20;dep.jeronimogoergen@camara.leg.br;Jeronimo Goergen;Exmo. Senhor Deputado;JERÔNIMO PIZZOLOTTO GOERGEN;1
Jéssica Sales;MDB;AC;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;952;Brasília - DF - CEP 70160-900;3215-5952;3215-2952;11;28;dep.jessicasales@camara.leg.br;Jessica Sales;Exma. Senhora Deputada;JESSICA ROJAS SALES;1
Jesus Sérgio;PDT;AC;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;941;Brasília - DF - CEP 70160-900;3215-5941;3215-2941;6;10;dep.jesussergio@camara.leg.br;Jesus Sergio;Exmo. Senhor Deputado;JESUS SERGIO DE MENEZES;1
Jhonatan de Jesus;REPUBLICANOS;RR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;535;Brasília - DF - CEP 70160-900;3215-5535;3215-2535;9;3;dep.jhonatandejesus@camara.leg.br;Jhonatan de Jesus;Exmo. Senhor Deputado;JOHNATHAN PEREIRA DE JESUS;
João Campos;REPUBLICANOS;GO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;315;Brasília - DF - CEP 70160-900;3215-5315;3215-2315;12;28;dep.joaocampos@camara.leg.br;Joao Campos;Exmo. Senhor Deputado;JOÃO CAMPOS DE ARAÚJO;1
João Carlos Bacelar;PL;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;928;Brasília - DF - CEP 70160-900;3215-5928;3215-2928;10;8;dep.joaocarlosbacelar@camara.leg.br;Joao Carlos Bacelar;Exmo. Senhor Deputado;JOÃO CARLOS PAOLILO BACELAR FILHO;0
João Daniel;PT;SE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;605;Brasília - DF - CEP 70160-900;3215-5605;3215-2605;8;22;dep.joaodaniel@camara.leg.br;Joao Daniel;Exmo. Senhor Deputado;JOAO SOMARIVA DANIEL;0
João Maia;PL;RN;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;439;Brasília - DF - CEP 70160-900;3215-5439;3215-2439;9;20;dep.joaomaia@camara.leg.br;Joao Maia;Exmo. Senhor Deputado;JOÃO DA SILVA MAIA;0
João Marcelo Souza;MDB;MA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;506;Brasília - DF - CEP 70160-900;3215-5506;3215-2506;11;11;dep.joaomarcelosouza@camara.leg.br;Joao Marcelo Souza;Exmo. Senhor Deputado;JOÃO MARCELO SANTOS SOUZA;
Joaquim Passarinho;PSD;PA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;334;Brasília - DF - CEP 70160-900;3215-5334;3215-2334;12;2;dep.joaquimpassarinho@camara.leg.br;Joaquim Passarinho;Exmo. Senhor Deputado;JOAQUIM PASSARINHO PINTO DE SOUZA PORTO;1
Joenia Wapichana;REDE;RR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;231;Brasília - DF - CEP 70160-900;3215-5231;3215-2231;4;20;dep.joeniawapichana@camara.leg.br;Joenia Wapichana;Exma. Senhora Deputada;JOENIA BATISTA DE CARVALHO;0
Joice Hasselmann;PSL;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;825;Brasília - DF - CEP 70160-900;3215-5825;3215-2825;1;29;dep.joicehasselmann@camara.leg.br;Joice Hasselmann;Exma. Senhora Deputada;JOICE CRISTINA HASSELMANN;0
Jorge Braz;REPUBLICANOS;RJ;E;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;213;Brasília - DF - CEP 70160-900;3215-5213;3215-2213;7;13;dep.jorgebraz@camara.leg.br;Jorge Braz;Exmo. Senhor Deputado;JORGE BRAZ DE OLIVEIRA ;1
Jorge Solla;PT;BA;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;571;Brasília - DF - CEP 70160-900;3215-5571;3215-2571;4;11;dep.jorgesolla@camara.leg.br;Jorge Solla;Exmo. Senhor Deputado;JORGE JOSE SANTOS PEREIRA SOLLA;0
José Airton Félix Cirilo;PT;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;319;Brasília - DF - CEP 70160-900;3215-5319;3215-2319;2;21;dep.joseairtonfelixcirilo@camara.leg.br;Jose Airton Felix Cirilo;Exmo. Senhor Deputado;JOSÉ AIRTON FÉLIX CIRILO DA SILVA;0
José Guimarães;PT;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;306;Brasília - DF - CEP 70160-900;3215-5306;3215-2306;2;13;dep.joseguimaraes@camara.leg.br;Jose Guimaraes;Exmo. Senhor Deputado;JOSÉ NOBRE GUIMARÃES;0
Jose Mario Schreiner;DEM;GO;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;970;Brasília - DF - CEP 70160-900;3215-5970;3215-2970;2;8;dep.josemarioschreiner@camara.leg.br;Jose Mario Schreiner;Exmo. Senhor Deputado;JOSE MARIO SCHREINER;1
José Medeiros;PODE;MT;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;335;Brasília - DF - CEP 70160-900;3215-5335;3215-2335;3;19;dep.josemedeiros@camara.leg.br;Jose Medeiros;Exmo. Senhor Deputado;JOSE ANTONIO DOS SANTOS MEDEIROS;1
José Nelto;PODE;GO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;703;Brasília - DF - CEP 70160-900;3215-5703;3215-2703;9;19;dep.josenelto@camara.leg.br;Jose Nelto;Exmo. Senhor Deputado;JOSÉ NELTO LAGARES DAS MERCEZ;0
José Nunes;PSD;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;728;Brasília - DF - CEP 70160-900;3215-5728;3215-2728;12;18;dep.josenunes@camara.leg.br;Jose Nunes;Exmo. Senhor Deputado;JOSÉ NUNES SOARES;
José Priante;MDB;PA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;752;Brasília - DF - CEP 70160-900;3215-5752;3215-2752;12;2;dep.josepriante@camara.leg.br;Jose Priante;Exmo. Senhor Deputado;JOSÉ BENITO PRIANTE JÚNIOR;0
José Ricardo;PT;AM;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;411;Brasília - DF - CEP 70160-900;3215-5411;3215-2411;6;23;dep.josericardo@camara.leg.br;Jose Ricardo;Exmo. Senhor Deputado;JOSÉ RICARDO WENDLING;0
José Rocha;PL;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;908;Brasília - DF - CEP 70160-900;3215-5908;3215-2908;8;18;dep.joserocha@camara.leg.br;Jose Rocha;Exmo. Senhor Deputado;JOSÉ ALVES ROCHA;0
Joseildo Ramos;PT;BA;S;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;642;Brasília - DF - CEP 70160-900;3215-5642;3215-2642;8;23;dep.joseildoramos@camara.leg.br;Joseildo Ramos;Exmo. Senhor Deputado;JOSEILDO RIBEIRO RAMOS;0
Josimar Maranhãozinho;PL;MA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;715;Brasília - DF - CEP 70160-900;3215-5715;3215-2715;11;13;dep.josimarmaranhaozinho@camara.leg.br;Josimar Maranhaozinho;Exmo. Senhor Deputado;JOSIMAR CUNHA RODRIGUES;0
Josivaldo JP;PODE;MA;E;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;578;Brasília - DF - CEP 70160-900;3215-5578;3215-2578;11;29;dep.josivaldojp@camara.leg.br;Josivaldo JP;Exmo. Senhor Deputado;JOSIVALDO DOS SANTOS MELO;1
Juarez Costa;MDB;MT;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;472;Brasília - DF - CEP 70160-900;3215-5472;3215-2472;1;20;dep.juarezcosta@camara.leg.br;Juarez Costa;Exmo. Senhor Deputado;JUAREZ ALVES DA COSTA;1
Julian Lemos;PSL;PB;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;272;Brasília - DF - CEP 70160-900;3215-5272;3215-2272;1;5;dep.julianlemos@camara.leg.br;Julian Lemos;Exmo. Senhor Deputado;GULLIEM CHARLES BEZERRA LEMOS;1
Júlio Cesar;PSD;PI;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;944;Brasília - DF - CEP 70160-900;3215-5944;3215-2944;8;25;dep.juliocesar@camara.leg.br;Julio Cesar;Exmo. Senhor Deputado;JÚLIO CÉSAR DE CARVALHO LIMA;1
Julio Cesar Ribeiro;REPUBLICANOS;DF;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;587;Brasília - DF - CEP 70160-900;3215-5587;3215-2587;2;24;dep.juliocesarribeiro@camara.leg.br;Julio Cesar Ribeiro;Exmo. Senhor Deputado;JULIO CESAR RIBEIRO;1
Júlio Delgado;PSB;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;323;Brasília - DF - CEP 70160-900;3215-5323;3215-2323;11;18;dep.juliodelgado@camara.leg.br;Julio Delgado;Exmo. Senhor Deputado;JÚLIO CÉSAR DELGADO;1
Julio Lopes;PP;RJ;S;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;429;Brasília - DF - CEP 70160-900;3215-5429;3215-2429;4;6;dep.juliolopes@camara.leg.br;Julio Lopes;Exmo. Senhor Deputado;JULIO LUIZ BAPTISTA LOPES;0
